Name,Critic_Score,Critic_Count,User_Score,User_Count
Wii Sports,76.0,51.0,8,322.0
Mario Kart Wii,82.0,73.0,8.3,709.0
Wii Sports Resort,80.0,73.0,8,192.0
New Super Mario Bros.,89.0,65.0,8.5,431.0
Wii Play,58.0,41.0,6.6,129.0
New Super Mario Bros. Wii,87.0,80.0,8.4,594.0
Mario Kart DS,91.0,64.0,8.6,464.0
Wii Fit,80.0,63.0,7.7,146.0
Kinect Adventures!,61.0,45.0,6.3,106.0
Wii Fit Plus,80.0,33.0,7.4,52.0
Grand Theft Auto V,97.0,50.0,8.2,3994.0
Grand Theft Auto: San Andreas,95.0,80.0,9,1588.0
Brain Age: Train Your Brain in Minutes a Day,77.0,58.0,7.9,50.0
Grand Theft Auto V,97.0,58.0,8.1,3711.0
Grand Theft Auto: Vice City,95.0,62.0,8.7,730.0
Brain Age 2: More Training in Minutes a Day,77.0,37.0,7.1,19.0
Gran Turismo 3: A-Spec,95.0,54.0,8.4,314.0
Call of Duty: Modern Warfare 3,88.0,81.0,3.4,8713.0
Call of Duty: Black Ops,87.0,89.0,6.3,1454.0
Call of Duty: Black Ops II,83.0,21.0,5.3,922.0
Call of Duty: Black Ops II,83.0,73.0,4.8,2256.0
Call of Duty: Modern Warfare 2,94.0,100.0,6.3,2698.0
Call of Duty: Modern Warfare 3,88.0,39.0,3.2,5234.0
Grand Theft Auto III,97.0,56.0,8.5,664.0
Super Smash Bros. Brawl,93.0,81.0,8.9,1662.0
Mario Kart 7,85.0,73.0,8.2,632.0
Call of Duty: Black Ops,88.0,58.0,6.4,1094.0
Grand Theft Auto V,97.0,66.0,8.3,2899.0
Animal Crossing: Wild World,86.0,57.0,8.7,242.0
Halo 3,94.0,86.0,7.8,4100.0
Gran Turismo 4,89.0,74.0,8.5,272.0
Super Mario Galaxy,97.0,73.0,8.9,2147.0
Grand Theft Auto IV,98.0,86.0,7.9,2951.0
Gran Turismo,96.0,16.0,8.7,138.0
Super Mario 3D Land,90.0,82.0,8.4,921.0
Gran Turismo 5,84.0,82.0,7.5,1112.0
Call of Duty: Modern Warfare 2,94.0,67.0,6.3,2073.0
Grand Theft Auto IV,98.0,64.0,7.5,2833.0
Call of Duty: Ghosts,73.0,29.0,2.6,2117.0
Just Dance 3,74.0,15.0,7.8,16.0
New Super Mario Bros. 2,78.0,70.0,7.2,424.0
Halo: Reach,91.0,99.0,7.9,2045.0
Final Fantasy VII,92.0,20.0,9.2,1282.0
Halo 4,87.0,87.0,7,3260.0
Gran Turismo 2,93.0,23.0,9,135.0
Just Dance 2,74.0,24.0,7.3,24.0
Call of Duty: Ghosts,71.0,10.0,2.6,1047.0
Call of Duty 4: Modern Warfare,94.0,70.0,8.4,1320.0
Animal Crossing: New Leaf,88.0,70.0,8.7,626.0
Mario Party DS,72.0,27.0,7.8,85.0
The Elder Scrolls V: Skyrim,96.0,89.0,8.4,3589.0
FIFA 16,82.0,42.0,4.3,896.0
Halo 2,95.0,91.0,8.2,1218.0
Wii Party,68.0,42.0,7.4,54.0
Mario Party 8,62.0,41.0,6.3,190.0
FIFA Soccer 13,88.0,37.0,6.6,348.0
Final Fantasy X,92.0,53.0,8.7,1056.0
The Sims 3,86.0,75.0,7.6,886.0
Final Fantasy VIII,90.0,24.0,8.6,644.0
Pokémon Platinum Version,83.0,46.0,8.5,203.0
Grand Theft Auto: Liberty City Stories,88.0,65.0,7.6,451.0
Call of Duty: Advanced Warfare,83.0,39.0,5.7,1443.0
FIFA 17,85.0,41.0,5,398.0
Super Mario Galaxy 2,97.0,87.0,9.1,1854.0
Call of Duty: World at War,84.0,84.0,7.6,580.0
Battlefield 3,84.0,57.0,7.4,2142.0
